audience_size,country_name,current_population,original_categories,migration_population_ratio,mpr_categories
3020832,France,65142102,3,0.046372958612849,2
1424878,Germany,83540513,2,0.0170561317956,0
265947,Switzerland,8596593,0,0.030936325588521,1
11991159,United States of America,329216878,4,0.036423281433341,2
1376496,Poland,37884487,2,0.036334027698461,1
1792132,Italy,60546877,3,0.029599082377114,1
267329,Ireland,4886499,1,0.054707675167845,2
304152,Hungary,9682788,1,0.031411614092966,1
2370306,China,1434235910,3,0.001652661172038,0
1181257,Puerto Rico,2927207,2,0.403544060942735,3
3495106,Brazil,211167736,3,0.016551325814281,0
3777856,Indonesia,211167736,3,0.017890308773306,0
814530,Zimbabwe,14662041,2,0.055553657229577,2
570119,Ghana,30467298,1,0.018712489699612,0
429173,Uganda,44381103,1,0.009670174263132,0
2120938,Colombia,50383852,3,0.042095590468152,2
1348521,Dominican Republic,10747356,2,0.125474674887479,3
1403316,Guatemala,17606805,2,0.079703046634526,3
2987088,United Kingdom,67559065,3,0.044214466260005,2
841961,Australia,25226501,2,0.033376051637126,1
1085225,Portugal,10223684,2,0.106148136033938,3
176938,Norway,5382277,0,0.032874190607433,1
114974,Denmark,5773489,0,0.019914128181417,0
212363,Czech Republic,10690655,0,0.019864358170758,0
461706,Netherlands,17100078,1,0.02700022771826,1
4616578,Bangladesh,163172385,3,0.028292642777759,1
2597281,Nepal,28642553,3,0.09067910252274,3
645490,Jamaica,2949308,1,0.218861509208262,3
2016871,Thailand,69640404,3,0.028961219122164,1
453254,Senegal,16329818,1,0.027756218715971,1
422843,Ivory Coast,25765627,1,0.016411127895316,0
781345,Sri Lanka,21331019,2,0.03662952060565,2
1586799,Morocco,36505530,2,0.043467359602778,2
1114096,United Arab Emirates,9779512,2,0.113921430844402,3
348799,New Zealand,4786122,1,0.072877164435006,3
2573517,Democratic Republic of the Congo,86997196,3,0.029581608584258,1
309093,Singapore,5808175,1,0.053216888265247,2
168244,Austria,8959385,0,0.018778521070364,0
83790,Cyprus,1199270,0,0.069867502730828,2
5384,Greece,10469756,0,0.000514243120852,0
565558,Hong Kong,7440715,1,0.076008555629399,3
1079107,Japan,126834298,2,0.008508006249224,0
254905,Lithuania,2756679,0,0.092468147361372,3
30692,Luxembourg,616563,0,0.049779179094432,2
31347,Monaco,38964,0,0.80451185709886,4
233783,Slovakia,5457263,0,0.042838873625845,2
48907,Slovenia,2078710,0,0.023527572388645,1
9449032,Mexico,127681046,3,0.07400497016605,3
495698,Israel,8529640,1,0.058114762170502,2
1762029,Russia,145881378,3,0.012078505318205,0
763354,Saudi Arabia,34313667,1,0.022246354491929,1
116675,Rwanda,12651174,0,0.009222464255096,0
1291605,Malaysia,31981344,2,0.040386201405419,2
2066534,Romania,19354767,3,0.10677131892107,3
4015011,South Korea,51230982,3,0.078370760099816,3
3326314,Vietnam,96530386,3,0.034458724737722,1
1388265,Peru,32545636,2,0.042655949326048,2
139331,Zambia,17900107,0,0.007783808219694,0
1133285,Honduras,9758160,2,0.116137161104143,3
588338,Lebanon,6857966,1,0.085788993412916,3
541754,Jordan,10113542,1,0.053567187440365,2
882319,Algeria,43114076,2,0.020464754944534,0
566293,Nicaragua,6551593,1,0.086435924820116,3
130958,Kuwait,4213118,0,0.031083392394896,1
93924,Qatar,2836656,0,0.033110817808011,1
